friend,member
351737828,350990057
351739623,350990057
3777549,350917000
350792159,350917000
350990057,350917000
350991030,350917000
351513094,350917000
351526602,350917000
351737828,350917000
351739623,350917000
3777549,350792159
350917000,350792159
350990057,350792159
350991030,350792159
351513094,350792159
351526602,350792159
351737828,350792159
351739623,350792159
371337773,350792159
3777549,232878976
208999610,232878976
3777549,208999610
142314516,208999610
232878976,208999610
3777549,206301250
190452728,206301250
3777549,190452728
206301250,190452728
226963948,190452728
3777549,230568570
178767563,230568570
226365781,230568570
228311731,230568570
228478997,230568570
229120103,230568570
230271800,230568570
230465191,230568570
232347825,230568570
232491622,230568570
232685078,230568570
232733555,230568570
233064533,230568570
233143186,230568570
233593599,230568570
233597485,230568570
233620208,230568570
233626496,230568570
233708990,230568570
233905157,230568570
234120750,230568570
234673292,230568570
245828565,230568570
254368019,230568570
255913237,230568570
3777549,232652842
178767563,232652842
226365781,232652842
228311731,232652842
232733555,232652842
233064533,232652842
233593599,232652842
233597485,232652842
233905157,232652842
226365781,230465191
228478997,230465191
229120103,230465191
230271800,230465191
230568570,230465191
232347825,230465191
232434940,230465191
232467996,230465191
232491622,230465191
232733555,230465191
233064533,230465191
233141685,230465191
233143186,230465191
233453960,230465191
233597485,230465191
233708990,230465191
233905157,230465191
3777549,230271800
178767563,230271800
226365781,230271800
229120103,230271800
230465191,230271800
230568570,230271800
232347825,230271800
232467996,230271800
232491622,230271800
232733555,230271800
233064533,230271800
233143186,230271800
233453960,230271800
233597485,230271800
233708990,230271800
271638225,230271800
3777549,233626496
178767563,233626496
230568570,233626496
232347825,233626496
232685078,233626496
232733555,233626496
233064533,233626496
233620208,233626496
233905157,233626496
234120750,233626496
3777549,233620208
178767563,233620208
229120103,233620208
230568570,233620208
232733555,233620208
233064533,233620208
233593599,233620208
233597485,233620208
233626496,233620208
233905157,233620208
3777549,233597485
178767563,233597485
226365781,233597485
230271800,233597485
230465191,233597485
230568570,233597485
232347825,233597485
232434940,233597485
232467996,233597485
232491622,233597485
232652842,233597485
232685078,233597485
232733555,233597485
233064533,233597485
233141685,233597485
233143186,233597485
233453960,233597485
233593599,233597485
233620208,233597485
233905157,233597485
234673292,233597485
3777549,233593599
178767563,233593599
226365781,233593599
228311731,233593599
228478997,233593599
230568570,233593599
232347825,233593599
232434940,233593599
232467996,233593599
232491622,233593599
232652842,233593599
232685078,233593599
232733555,233593599
233064533,233593599
233141685,233593599
233143186,233593599
233453960,233593599
233597485,233593599
233620208,233593599
233905157,233593599
3777549,233708990
226365781,233708990
228311731,233708990
228478997,233708990
229120103,233708990
230271800,233708990
230465191,233708990
230568570,233708990
232733555,233708990
233905157,233708990
3777549,233905157
230465191,233905157
230568570,233905157
232347825,233905157
232434940,233905157
232467996,233905157
232491622,233905157
232652842,233905157
232685078,233905157
232733555,233905157
233064533,233905157
233141685,233905157
233143186,233905157
233453960,233905157
233593599,233905157
233597485,233905157
233620208,233905157
233626496,233905157
233708990,233905157
234673292,233905157
3777549,234120750
228311731,234120750
230568570,234120750
232347825,234120750
232685078,234120750
232733555,234120750
233626496,234120750
3777549,234673292
178767563,234673292
230568570,234673292
232434940,234673292
232733555,234673292
233453960,234673292
233597485,234673292
233905157,234673292
254368019,234673292
3777549,254368019
178767563,254368019
226365781,254368019
230568570,254368019
232347825,254368019
233453960,254368019
234673292,254368019
3777549,255913237
178767563,255913237
230568570,255913237
271638225,255913237
3777549,245828565
178767563,245828565
226365781,245828565
230568570,245828565
232347825,245828565
233453960,245828565
3777549,414523746
232467996,414523746
398975872,414523746
3777549,233453960
178767563,233453960
226365781,233453960
228311731,233453960
228478997,233453960
230271800,233453960
230465191,233453960
232347825,233453960
232434940,233453960
232467996,233453960
232491622,233453960
232733555,233453960
233064533,233453960
233593599,233453960
233597485,233453960
233905157,233453960
234673292,233453960
245828565,233453960
254368019,233453960
3777549,233143186
226365781,233143186
228478997,233143186
230271800,233143186
230465191,233143186
230568570,233143186
232347825,233143186
232434940,233143186
232685078,233143186
232733555,233143186
233064533,233143186
233141685,233143186
233593599,233143186
233597485,233143186
233905157,233143186
3777549,233141685
178767563,233141685
230465191,233141685
232347825,233141685
232685078,233141685
232733555,233141685
233064533,233141685
233143186,233141685
233593599,233141685
233597485,233141685
233905157,233141685
3777549,233064533
178767563,233064533
226365781,233064533
230271800,233064533
230465191,233064533
230568570,233064533
232347825,233064533
232434940,233064533
232467996,233064533
232491622,233064533
232652842,233064533
232685078,233064533
232733555,233064533
233141685,233064533
233143186,233064533
233453960,233064533
233593599,233064533
233597485,233064533
233620208,233064533
233626496,233064533
233905157,233064533
271638225,233064533
3777549,232733555
178767563,232733555
226365781,232733555
228311731,232733555
228478997,232733555
229120103,232733555
230271800,232733555
230465191,232733555
230568570,232733555
232347825,232733555
232434940,232733555
232467996,232733555
232491622,232733555
232652842,232733555
232685078,232733555
233064533,232733555
233141685,232733555
233143186,232733555
233453960,232733555
233593599,232733555
233597485,232733555
233620208,232733555
233626496,232733555
233708990,232733555
233905157,232733555
234120750,232733555
234673292,232733555
3777549,232685078
178767563,232685078
226365781,232685078
228311731,232685078
230568570,232685078
232347825,232685078
232467996,232685078
232733555,232685078
233064533,232685078
233141685,232685078
233143186,232685078
233593599,232685078
233597485,232685078
233626496,232685078
233905157,232685078
234120750,232685078
3777549,232491622
178767563,232491622
226365781,232491622
228478997,232491622
230271800,232491622
230465191,232491622
230568570,232491622
232467996,232491622
232733555,232491622
233064533,232491622
233453960,232491622
233593599,232491622
233597485,232491622
233905157,232491622
3777549,232467996
178767563,232467996
226365781,232467996
228311731,232467996
228478997,232467996
229120103,232467996
230271800,232467996
230465191,232467996
232347825,232467996
232434940,232467996
232491622,232467996
232685078,232467996
232733555,232467996
233064533,232467996
233453960,232467996
233593599,232467996
233597485,232467996
233905157,232467996
414523746,232467996
3777549,232434940
226365781,232434940
228311731,232434940
228478997,232434940
230465191,232434940
232347825,232434940
232467996,232434940
232733555,232434940
233064533,232434940
233143186,232434940
233453960,232434940
233593599,232434940
233597485,232434940
233905157,232434940
234673292,232434940
3777549,232347825
178767563,232347825
226365781,232347825
228311731,232347825
228478997,232347825
230271800,232347825
230465191,232347825
230568570,232347825
232434940,232347825
232467996,232347825
232685078,232347825
232733555,232347825
233064533,232347825
233141685,232347825
233143186,232347825
233453960,232347825
233593599,232347825
233597485,232347825
233626496,232347825
233905157,232347825
234120750,232347825
245828565,232347825
254368019,232347825
271638225,232347825
3777549,271638225
230271800,271638225
232347825,271638225
233064533,271638225
255913237,271638225
3777549,229120103
178767563,229120103
228311731,229120103
228478997,229120103
230271800,229120103
230465191,229120103
230568570,229120103
232467996,229120103
232733555,229120103
233620208,229120103
233708990,229120103
3777549,178767563
226365781,178767563
228311731,178767563
228478997,178767563
229120103,178767563
230271800,178767563
230568570,178767563
232347825,178767563
232467996,178767563
232491622,178767563
232652842,178767563
232685078,178767563
232733555,178767563
233064533,178767563
233141685,178767563
233453960,178767563
233593599,178767563
233597485,178767563
233620208,178767563
233626496,178767563
234673292,178767563
245828565,178767563
254368019,178767563
255913237,178767563
3777549,228478997
178767563,228478997
226365781,228478997
228311731,228478997
229120103,228478997
230465191,228478997
230568570,228478997
232347825,228478997
232434940,228478997
232467996,228478997
232491622,228478997
232733555,228478997
233143186,228478997
233453960,228478997
233593599,228478997
233708990,228478997
3777549,228311731
178767563,228311731
226365781,228311731
228478997,228311731
229120103,228311731
230568570,228311731
232347825,228311731
232434940,228311731
232467996,228311731
232652842,228311731
232685078,228311731
232733555,228311731
233453960,228311731
233593599,228311731
233708990,228311731
234120750,228311731
3777549,226365781
178767563,226365781
228311731,226365781
228478997,226365781
230271800,226365781
230465191,226365781
230568570,226365781
232347825,226365781
232434940,226365781
232467996,226365781
232491622,226365781
232652842,226365781
232685078,226365781
232733555,226365781
233064533,226365781
233143186,226365781
233453960,226365781
233593599,226365781
233597485,226365781
233708990,226365781
245828565,226365781
254368019,226365781
198358942,90661766
1642,269058461
339736756,380362022
344447208,380362022
367153836,380362022
498295365,474672919
284355598,58333491
418286804,58333491
3777549,143322827
91692662,143322827
144427977,143322827
226963948,143322827
258767854,487678900
397421453,487678900
3777549,226963948
8759555,226963948
91692662,226963948
141328566,226963948
143322827,226963948
190452728,226963948
208108507,226963948
223470358,226963948
229986570,226963948
266981762,226963948
275799488,226963948
280108166,226963948
289169000,226963948
303262142,226963948
303396983,226963948
303792833,226963948
303861333,226963948
310335055,226963948
311221467,226963948
320224729,226963948
323567737,226963948
351513094,226963948
371337773,226963948
380703051,226963948
457358637,226963948
3777549,142314516
8759555,142314516
34305988,142314516
50519759,142314516
91692662,142314516
141328566,142314516
208999610,142314516
223470358,142314516
253985099,142314516
259899780,142314516
265721085,142314516
266981762,142314516
268706119,142314516
269362391,142314516
274443503,142314516
280108166,142314516
281089804,142314516
288864606,142314516
289169000,142314516
290350570,142314516
292467798,142314516
303262039,142314516
303262142,142314516
303262267,142314516
303396983,142314516
303513296,142314516
303590067,142314516
303593024,142314516
303792833,142314516
303793361,142314516
303909882,142314516
304042711,142314516
304282811,142314516
305936478,142314516
306477605,142314516
309746103,142314516
310335055,142314516
311221467,142314516
311604325,142314516
320224729,142314516
380703051,142314516
429721691,142314516
499445780,462680560
139381708,309173271
353395073,309173271
91692662,3777549
142314516,3777549
143322827,3777549
178767563,3777549
190452728,3777549
206301250,3777549
208999610,3777549
223470358,3777549
226365781,3777549
226963948,3777549
228311731,3777549
228478997,3777549
229120103,3777549
230271800,3777549
230568570,3777549
232347825,3777549
232434940,3777549
232467996,3777549
232491622,3777549
232652842,3777549
232685078,3777549
232733555,3777549
232878976,3777549
233064533,3777549
233141685,3777549
233143186,3777549
233453960,3777549
233593599,3777549
233597485,3777549
233620208,3777549
233626496,3777549
233708990,3777549
233905157,3777549
234120750,3777549
234673292,3777549
245828565,3777549
254368019,3777549
255913237,3777549
271638225,3777549
